"","ID","Name","Timestamp","Sender","Event Type","Battery","Impacts","Temp (f)","Light (Im)","Distance (m)","Latitude","Longitude","GPS Fix","Received","Address","Altitude"
"","357591080390195","18034746","2018-08-21 8:48:59 am","18034746","UPDATE","3.57","0","71.11","0","0","35.24368","-120.64472","Valid(1)","2018-08-21 8:49:52 am","","0"
"","357591080390195","18034746","2018-08-21 8:43:27 am","18034746","UPDATE","3.59","0","71.02","0","0","35.243675","-120.64463","Valid(1)","2018-08-21 8:43:57 am","","0"
"","357591080390195","18034746","2018-08-21 8:31:12 am","18034746","UPDATE","3.58","0","70.93","0","0","35.243954","-120.64502","Valid(1)","2018-08-21 8:32:11 am","","0"
"","357591080390195","18034746","2018-08-21 8:19:37 am","18034746","UPDATE","3.59","0","71.08","0","0","35.243935","-120.64511","Valid(1)","2018-08-21 8:20:12 am","","0"
"","357591080390195","18034746","2018-08-21 8:08:06 am","18034746","UPDATE","3.6","0","71.31","0","0","35.243507","-120.64447","Valid(1)","2018-08-21 8:08:37 am","","0"
"","357591080390195","18034746","2018-08-21 8:02:36 am","18034746","UPDATE","3.6","0","71.64","0","0","35.24858","-120.64325","Valid(1)","2018-08-21 8:03:03 am","","0"
"","357591080390195","18034746","2018-08-21 7:57:06 am","18034746","UPDATE","3.6","0","71.85","0","0","35.26682","-120.65933","Valid(1)","2018-08-21 7:57:33 am","","0"
"","357591080390195","18034746","2018-08-21 7:51:30 am","18034746","UPDATE","3.58","0","71.82","0","0","35.26698","-120.65927","Valid(1)","2018-08-21 7:52:03 am","","0"
"","357591080390195","18034746","2018-08-21 7:45:58 am","18034746","UPDATE","3.59","0","71.83","0","0","35.267136","-120.65928","Valid(1)","2018-08-21 7:46:27 am","","0"
"","357591080390195","18034746","2018-08-21 7:40:29 am","18034746","UPDATE","3.6","0","71.87","0","0","35.26695","-120.65927","Valid(1)","2018-08-21 7:40:55 am","","0"
"","357591080390195","18034746","2018-08-21 7:34:58 am","18034746","UPDATE","3.6","0","71.87","0","0","35.26696","-120.6592","Valid(1)","2018-08-21 7:35:26 am","","0"
"","357591080390195","18034746","2018-08-21 7:29:27 am","18034746","UPDATE","3.6","0","71.91","0","0","35.267113","-120.65916","Valid(1)","2018-08-21 7:29:54 am","","0"
"","357591080390195","18034746","2018-08-21 7:23:53 am","18034746","UPDATE","3.59","0","71.94","0","0","35.26688","-120.65921","Valid(1)","2018-08-21 7:24:23 am","","0"
"","357591080390195","18034746","2018-08-21 7:18:21 am","18034746","UPDATE","3.6","0","71.94","0","0","35.26691","-120.65934","Valid(1)","2018-08-21 7:18:49 am","","0"
"","357591080390195","18034746","2018-08-21 7:12:51 am","18034746","UPDATE","3.6","0","71.98","0","0","35.26706","-120.65919","Valid(1)","2018-08-21 7:13:17 am","","0"
"","357591080390195","18034746","2018-08-21 7:07:20 am","18034746","UPDATE","3.6","0","72.05","0","0","35.26681","-120.65913","Valid(1)","2018-08-21 7:07:47 am","","0"
"","357591080390195","18034746","2018-08-21 7:01:50 am","18034746","UPDATE","3.6","0","72.09","0","0","35.266922","-120.6591","Valid(1)","2018-08-21 7:02:16 am","","0"
"","357591080390195","18034746","2018-08-21 6:56:20 am","18034746","UPDATE","3.6","0","72.12","0","0","35.267204","-120.6594","Valid(1)","2018-08-21 6:56:46 am","","0"
"","357591080390195","18034746","2018-08-21 6:50:51 am","18034746","UPDATE","3.61","0","72.16","0","0","35.26726","-120.65953","Valid(1)","2018-08-21 6:51:16 am","","0"
"","357591080390195","18034746","2018-08-21 6:45:21 am","18034746","UPDATE","3.6","0","72.21","0","0","35.267124","-120.65928","Valid(1)","2018-08-21 6:45:47 am","","0"
"","357591080390195","18034746","2018-08-21 6:39:52 am","18034746","UPDATE","3.6","0","72.28","0","0","35.26708","-120.65931","Valid(1)","2018-08-21 6:40:17 am","","0"
"","357591080390195","18034746","2018-08-21 6:34:22 am","18034746","UPDATE","3.6","0","72.34","0","0","35.26702","-120.65924","Valid(1)","2018-08-21 6:34:48 am","","0"
"","357591080390195","18034746","2018-08-21 6:28:53 am","18034746","UPDATE","3.6","0","72.43","0","0","35.26702","-120.65924","Valid(1)","2018-08-21 6:29:18 am","","0"
"","357591080390195","18034746","2018-08-21 6:22:55 am","18034746","UPDATE","3.57","0","72.50","0","0","35.26704","-120.65927","Valid(1)","2018-08-21 6:23:48 am","","0"
